title,year,genres,votes,rating,runtimes,certificates,cast,directors,plot
The Creator,2023,"Action, Adventure, Drama",30469,7.2,133,PG-13,"John David Washington, Madeleine Yuna Voyles, Gemma Chan, Allison Janney",Gareth Edwards,"Against the backdrop of a war between humans and robots with artificial intelligence, a former soldier finds the secret weapon, a robot in the form of a young child."
Argylle,2024,"Action, Thriller",,,135,,"Dua Lipa, Sofia Boutella, Henry Cavill, Bryce Dallas Howard",Matthew Vaughn,An introverted spy novelist is drawn into the activities of a sinister underground syndicate.
The Equalizer 3,2023,"Action, Crime, Thriller",37620,7.0,109,R,"Denzel Washington, Dakota Fanning, Eugenio Mastrandrea, David Denman",Antoine Fuqua,"Robert McCall finds himself at home in Southern Italy but he discovers his friends are under the control of local crime bosses. As events turn deadly, McCall knows what he has to do: become his friends' protector by taking on the mafia."
Sound of Freedom,2023,"Action, Biography, Crime",67470,7.8,131,PG-13,"Jim Caviezel, Mira Sorvino, Bill Camp, Cristal Aparicio",Alejandro Monteverde,The incredible true story of a former government agent turned vigilante who embarks on a dangerous mission to rescue hundreds of children from traffickers.
Meg 2: The Trench,2023,"Action, Adventure, Horror",53907,5.1,116,PG-13,"Jason Statham, Jing Wu, Shuya Sophia Cai, Cliff Curtis",Ben Wheatley,"A research team encounters multiple threats while exploring the depths of the ocean, including a malevolent mining operation."
Mission: Impossible - Dead Reckoning Part One,2023,"Action, Adventure, Thriller",145894,7.9,163,PG-13,"Tom Cruise, Hayley Atwell, Ving Rhames, Simon Pegg",Christopher McQuarrie,Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.
Gran Turismo,2023,"Action, Adventure, Drama",40597,7.3,134,PG-13,"David Harbour, Orlando Bloom, Archie Madekwe, Takehiro Hira",Neill Blomkamp,"Based on the unbelievable, inspiring true story of a team of underdogs - a struggling, working-class gamer, a failed former race car driver, and an idealistic motorsport exec - who risk it all to take on the most elite sport in the world."
Expend4bles,2023,"Action, Adventure, Thriller",9224,5.2,103,R,"Jason Statham, 50 Cent, Megan Fox, Dolph Lundgren",Scott Waugh,"Armed with every weapon they can get their hands on, the Expendables are the world's last line of defense and the team that gets called when all other options are off the table."
Jawan,2023,"Action, Thriller",61222,7.5,169,Not Rated,"Shah Rukh Khan, Nayanthara, Vijay Sethupathi, Deepika Padukone",Atlee,A high-octane action thriller which outlines the emotional journey of a man who is set to rectify the wrongs in the society.
PAW Patrol: The Mighty Movie,2023,"Animation, Action, Adventure",1380,6.1,88,PG,"Mckenna Grace, Taraji P. Henson, Marsai Martin, Christian Convery",Cal Brunker,"A magical meteor crash lands in Adventure City and gives the PAW Patrol pups superpowers, transforming them into The Mighty Pups"
